Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v1
strin_x    strain_y    strain_z    v1
-0.03   -0.0   -0.0  0.7805955
-0.03   -0.0   -0.0  0.7723319
-0.03   -0.0   -0.0  0.76398706
-0.03   -0.0   -0.0  0.75553596
-0.03   -0.0   -0.0  0.74713653
-0.03   -0.0   -0.0  0.7386706
-0.03   -0.0   -0.0  0.73020035
-0.03   -0.0   -0.0  0.7214781
-0.03   -0.0   -0.0  0.7125833
-0.03   -0.0   -0.0  0.7035271
-0.03   -0.0   -0.0  0.6943081
-0.03   -0.0   -0.0  0.6850606
-0.03   -0.0   -0.0  0.67561895
-0.03   -0.0   -0.0  0.6663222
-0.03   -0.0   -0.0  0.6568116
-0.03   -0.0   -0.0  0.64717406
-0.03   -0.0   -0.0  0.6376662
-0.03   -0.0   -0.0  0.62833214
-0.03   -0.0   -0.0  0.6188753
-0.03   -0.0   -0.0  0.6095222
-0.03   -0.0   -0.0  0.6004225
-0.03   -0.0   -0.0  0.59145045
-0.03   -0.0   -0.0  0.5828805
-0.03   -0.0   -0.0  0.57432765
-0.03   -0.0   -0.0  0.5663633
-0.03   -0.0   -0.0  0.5586615
-0.03   -0.0   -0.0  0.55017257
-0.03   -0.0   -0.0  0.5407333
-0.03   -0.0   -0.0  0.53149855
-0.03   -0.0   -0.0  0.5231743
-0.03   -0.0   -0.0  0.51473254
-0.03   -0.0   -0.0  0.5049061
-0.03   -0.0   -0.0  0.4931208
-0.03   -0.0   -0.0  0.4801333
-0.03   -0.0   -0.0  0.4665438
-0.03   -0.0   -0.0  0.45130056
-0.03   -0.0   -0.0  0.43513966
-0.03   -0.0   -0.0  0.41798508
-0.03   -0.0   -0.0  0.40261683
-0.03   -0.0   -0.0  0.3866114
-0.03   -0.0   -0.0  0.3718214
-0.03   -0.0   -0.0  0.35731304
-0.03   -0.0   -0.0  0.34200463
-0.03   -0.0   -0.0  0.326591
-0.03   -0.0   -0.0  0.31086743
-0.03   -0.0   -0.0  0.29572248
-0.03   -0.0   -0.0  0.28073642
-0.03   -0.0   -0.0  0.26648024
-0.03   -0.0   -0.0  0.25349852
-0.03   -0.0   -0.0  0.24083422
-0.03   -0.0   -0.0  0.22837006
-0.03   -0.0   -0.0  0.2162291
-0.03   -0.0   -0.0  0.2050024
-0.03   -0.0   -0.0  0.19432965
-0.03   -0.0   -0.0  0.1838943
-0.03   -0.0   -0.0  0.17402655
-0.03   -0.0   -0.0  0.16470884
-0.03   -0.0   -0.0  0.15574847
-0.03   -0.0   -0.0  0.14737464
-0.03   -0.0   -0.0  0.13955857
-0.03   -0.0   -0.0  0.13240707
