Inference results by NN model
strain parameters and last term is v3
strain_x    strain_y     strain_z     v3
-0.03     -0.03     -0.03     -0.46788946
-0.029     -0.029     -0.029     -0.46140835
-0.028     -0.028     -0.028     -0.45496616
-0.027     -0.027     -0.027     -0.44856742
-0.026     -0.026     -0.026     -0.44226393
-0.025     -0.025     -0.025     -0.436169
-0.024     -0.024     -0.024     -0.43022403
-0.023     -0.023     -0.023     -0.4244132
-0.022     -0.022     -0.022     -0.4185914
-0.021     -0.021     -0.021     -0.41278496
-0.02     -0.02     -0.02     -0.40702045
-0.019     -0.019     -0.019     -0.40138134
-0.018     -0.018     -0.018     -0.3956984
-0.017     -0.017     -0.017     -0.3901286
-0.016     -0.016     -0.016     -0.38466114
-0.015     -0.015     -0.015     -0.37934595
-0.014     -0.014     -0.014     -0.37439054
-0.013     -0.013     -0.013     -0.3697281
-0.012     -0.012     -0.012     -0.36528867
-0.011     -0.011     -0.011     -0.36084932
-0.01     -0.01     -0.01     -0.35652363
-0.009     -0.009     -0.009     -0.35246456
-0.008     -0.008     -0.008     -0.34799618
-0.007     -0.007     -0.007     -0.34396517
-0.006     -0.006     -0.006     -0.3398111
-0.005     -0.005     -0.005     -0.3354516
-0.004     -0.004     -0.004     -0.3308402
-0.003     -0.003     -0.003     -0.32806763
-0.002     -0.002     -0.002     -0.32664353
-0.001     -0.001     -0.001     -0.3245005
0.0     0.0     0.0     -0.32249612
0.001     0.001     0.001     -0.31613633
0.002     0.002     0.002     -0.31102765
0.003     0.003     0.003     -0.3031525
0.004     0.004     0.004     -0.29325172
0.005     0.005     0.005     -0.28384703
0.006     0.006     0.006     -0.27585977
0.007     0.007     0.007     -0.27005672
0.008     0.008     0.008     -0.2658686
0.009     0.009     0.009     -0.26081377
0.01     0.01     0.01     -0.25612998
0.011     0.011     0.011     -0.2521397
0.012     0.012     0.012     -0.24806103
0.013     0.013     0.013     -0.24430963
0.014     0.014     0.014     -0.24098387
0.015     0.015     0.015     -0.23802705
0.016     0.016     0.016     -0.23530091
0.017     0.017     0.017     -0.23314208
0.018     0.018     0.018     -0.23126559
0.019     0.019     0.019     -0.22950633
0.02     0.02     0.02     -0.22781394
0.021     0.021     0.021     -0.22686711
0.022     0.022     0.022     -0.22620127
0.023     0.023     0.023     -0.2255732
0.024     0.024     0.024     -0.2248888
0.025     0.025     0.025     -0.2244539
0.026     0.026     0.026     -0.2242153
0.027     0.027     0.027     -0.22399311
0.028     0.028     0.028     -0.2237811
0.029     0.029     0.029     -0.22362734
0.03     0.03     0.03     -0.22361173
