Inference results by NN model
strain parameters and last term is v3
strain_x    strain_y     strain_z     v3
-0.03     -0.03     -0.0     -0.35766664
-0.029     -0.029     -0.0     -0.35575816
-0.028     -0.028     -0.0     -0.3540466
-0.027     -0.027     -0.0     -0.3524493
-0.026     -0.026     -0.0     -0.35106158
-0.025     -0.025     -0.0     -0.34972185
-0.024     -0.024     -0.0     -0.34843633
-0.023     -0.023     -0.0     -0.3472907
-0.022     -0.022     -0.0     -0.34626678
-0.021     -0.021     -0.0     -0.34548476
-0.02     -0.02     -0.0     -0.3446508
-0.019     -0.019     -0.0     -0.34384963
-0.018     -0.018     -0.0     -0.34324494
-0.017     -0.017     -0.0     -0.34275368
-0.016     -0.016     -0.0     -0.34189233
-0.015     -0.015     -0.0     -0.34096092
-0.014     -0.014     -0.0     -0.34009
-0.013     -0.013     -0.0     -0.3393761
-0.012     -0.012     -0.0     -0.33850062
-0.011     -0.011     -0.0     -0.33734837
-0.01     -0.01     -0.0     -0.33526886
-0.009     -0.009     -0.0     -0.33277506
-0.008     -0.008     -0.0     -0.33054632
-0.007     -0.007     -0.0     -0.32835
-0.006     -0.006     -0.0     -0.32552007
-0.005     -0.005     -0.0     -0.32328978
-0.004     -0.004     -0.0     -0.32214582
-0.003     -0.003     -0.0     -0.32115653
-0.002     -0.002     -0.0     -0.320989
-0.001     -0.001     -0.0     -0.3216142
0.0     0.0     0.0     -0.32249612
0.001     0.001     0.0     -0.31954086
0.002     0.002     0.0     -0.31675494
0.003     0.003     0.0     -0.31298894
0.004     0.004     0.0     -0.3095562
0.005     0.005     0.0     -0.3045112
0.006     0.006     0.0     -0.30010104
0.007     0.007     0.0     -0.29674214
0.008     0.008     0.0     -0.29295003
0.009     0.009     0.0     -0.28922212
0.01     0.01     0.0     -0.28629822
0.011     0.011     0.0     -0.28409266
0.012     0.012     0.0     -0.28208536
0.013     0.013     0.0     -0.28028232
0.014     0.014     0.0     -0.2785957
0.015     0.015     0.0     -0.27726418
0.016     0.016     0.0     -0.27614772
0.017     0.017     0.0     -0.27555507
0.018     0.018     0.0     -0.27531552
0.019     0.019     0.0     -0.2751063
0.02     0.02     0.0     -0.27505773
0.021     0.021     0.0     -0.27520913
0.022     0.022     0.0     -0.27554113
0.023     0.023     0.0     -0.27583778
0.024     0.024     0.0     -0.27594912
0.025     0.025     0.0     -0.27624482
0.026     0.026     0.0     -0.2765953
0.027     0.027     0.0     -0.27692914
0.028     0.028     0.0     -0.27742785
0.029     0.029     0.0     -0.2780909
0.03     0.03     0.0     -0.27884343
