Inference results by NN model
strain parameters and last term is v4
strain_x    strain_y     strain_z     v4
-0.0     -0.03     -0.03     0.84294033
-0.0     -0.029     -0.029     0.83516634
-0.0     -0.028     -0.028     0.8273791
-0.0     -0.027     -0.027     0.81949914
-0.0     -0.026     -0.026     0.8116069
-0.0     -0.025     -0.025     0.8038976
-0.0     -0.024     -0.024     0.79596925
-0.0     -0.023     -0.023     0.7879492
-0.0     -0.022     -0.022     0.78000057
-0.0     -0.021     -0.021     0.7723503
-0.0     -0.02     -0.02     0.7653841
-0.0     -0.019     -0.019     0.75867426
-0.0     -0.018     -0.018     0.7526196
-0.0     -0.017     -0.017     0.7469779
-0.0     -0.016     -0.016     0.7412516
-0.0     -0.015     -0.015     0.73598254
-0.0     -0.014     -0.014     0.73072493
-0.0     -0.013     -0.013     0.7247115
-0.0     -0.012     -0.012     0.71929985
-0.0     -0.011     -0.011     0.71441555
-0.0     -0.01     -0.01     0.7102287
-0.0     -0.009     -0.009     0.7077205
-0.0     -0.008     -0.008     0.70583373
-0.0     -0.007     -0.007     0.7032554
-0.0     -0.006     -0.006     0.6986996
-0.0     -0.005     -0.005     0.6943014
-0.0     -0.004     -0.004     0.69046235
-0.0     -0.003     -0.003     0.6865037
-0.0     -0.002     -0.002     0.68252575
-0.0     -0.001     -0.001     0.6801778
0.0     0.0     0.0     0.67810404
0.0     0.001     0.001     0.6728441
0.0     0.002     0.002     0.6670053
0.0     0.003     0.003     0.66040206
0.0     0.004     0.004     0.6528079
0.0     0.005     0.005     0.6468931
0.0     0.006     0.006     0.6420723
0.0     0.007     0.007     0.6383819
0.0     0.008     0.008     0.6354046
0.0     0.009     0.009     0.63281053
0.0     0.01     0.01     0.63125825
0.0     0.011     0.011     0.63025844
0.0     0.012     0.012     0.6298181
0.0     0.013     0.013     0.6297844
0.0     0.014     0.014     0.63039947
0.0     0.015     0.015     0.6319635
0.0     0.016     0.016     0.63378745
0.0     0.017     0.017     0.636441
0.0     0.018     0.018     0.6391665
0.0     0.019     0.019     0.6419526
0.0     0.02     0.02     0.6449884
0.0     0.021     0.021     0.648371
0.0     0.022     0.022     0.65227896
0.0     0.023     0.023     0.6563822
0.0     0.024     0.024     0.66063666
0.0     0.025     0.025     0.6649707
0.0     0.026     0.026     0.6694348
0.0     0.027     0.027     0.673856
0.0     0.028     0.028     0.67829204
0.0     0.029     0.029     0.6828959
0.0     0.03     0.03     0.68755996
