Inference results by NN model
strain parameters and last term is v4
strain_x    strain_y     strain_z     v4
-0.03     -0.03     -0.0     0.9084083
-0.029     -0.029     -0.0     0.90150034
-0.028     -0.028     -0.0     0.89474225
-0.027     -0.027     -0.0     0.8879827
-0.026     -0.026     -0.0     0.8812368
-0.025     -0.025     -0.0     0.87466836
-0.024     -0.024     -0.0     0.8681004
-0.023     -0.023     -0.0     0.8614447
-0.022     -0.022     -0.0     0.85492504
-0.021     -0.021     -0.0     0.8487425
-0.02     -0.02     -0.0     0.84253657
-0.019     -0.019     -0.0     0.83623767
-0.018     -0.018     -0.0     0.82979476
-0.017     -0.017     -0.0     0.8231058
-0.016     -0.016     -0.0     0.8160676
-0.015     -0.015     -0.0     0.8088404
-0.014     -0.014     -0.0     0.80157995
-0.013     -0.013     -0.0     0.79374623
-0.012     -0.012     -0.0     0.7854167
-0.011     -0.011     -0.0     0.7767824
-0.01     -0.01     -0.0     0.76793325
-0.009     -0.009     -0.0     0.758394
-0.008     -0.008     -0.0     0.74767375
-0.007     -0.007     -0.0     0.73644966
-0.006     -0.006     -0.0     0.7257253
-0.005     -0.005     -0.0     0.7156973
-0.004     -0.004     -0.0     0.7061109
-0.003     -0.003     -0.0     0.69921327
-0.002     -0.002     -0.0     0.6918957
-0.001     -0.001     -0.0     0.68429494
0.0     0.0     0.0     0.67810404
0.001     0.001     0.0     0.6690259
0.002     0.002     0.0     0.65945506
0.003     0.003     0.0     0.6494119
0.004     0.004     0.0     0.6385235
0.005     0.005     0.0     0.62621164
0.006     0.006     0.0     0.613899
0.007     0.007     0.0     0.60064816
0.008     0.008     0.0     0.587742
0.009     0.009     0.0     0.57629526
0.01     0.01     0.0     0.5647
0.011     0.011     0.0     0.5529117
0.012     0.012     0.0     0.54211676
0.013     0.013     0.0     0.53311586
0.014     0.014     0.0     0.5256499
0.015     0.015     0.0     0.5185205
0.016     0.016     0.0     0.5126014
0.017     0.017     0.0     0.50759447
0.018     0.018     0.0     0.5034174
0.019     0.019     0.0     0.4995177
0.02     0.02     0.0     0.49598974
0.021     0.021     0.0     0.493232
0.022     0.022     0.0     0.4910338
0.023     0.023     0.0     0.4897778
0.024     0.024     0.0     0.4888222
0.025     0.025     0.0     0.48797765
0.026     0.026     0.0     0.48761317
0.027     0.027     0.0     0.48752534
0.028     0.028     0.0     0.4875927
0.029     0.029     0.0     0.48779282
0.03     0.03     0.0     0.4879175
