Inference results by NN model
strain parameters and last term is v3
strain_x    strain_y     strain_z     v3
-0.0     -0.03     -0.03     -0.5025269
-0.0     -0.029     -0.029     -0.49524564
-0.0     -0.028     -0.028     -0.4880481
-0.0     -0.027     -0.027     -0.48085862
-0.0     -0.026     -0.026     -0.47386396
-0.0     -0.025     -0.025     -0.46693543
-0.0     -0.024     -0.024     -0.460141
-0.0     -0.023     -0.023     -0.45350423
-0.0     -0.022     -0.022     -0.44689164
-0.0     -0.021     -0.021     -0.44023392
-0.0     -0.02     -0.02     -0.4335746
-0.0     -0.019     -0.019     -0.42683676
-0.0     -0.018     -0.018     -0.42031345
-0.0     -0.017     -0.017     -0.41375497
-0.0     -0.016     -0.016     -0.40730378
-0.0     -0.015     -0.015     -0.40116057
-0.0     -0.014     -0.014     -0.3953932
-0.0     -0.013     -0.013     -0.3897798
-0.0     -0.012     -0.012     -0.38423598
-0.0     -0.011     -0.011     -0.37840408
-0.0     -0.01     -0.01     -0.3723638
-0.0     -0.009     -0.009     -0.36653736
-0.0     -0.008     -0.008     -0.36091587
-0.0     -0.007     -0.007     -0.35502374
-0.0     -0.006     -0.006     -0.3494892
-0.0     -0.005     -0.005     -0.34447354
-0.0     -0.004     -0.004     -0.34035397
-0.0     -0.003     -0.003     -0.33638415
-0.0     -0.002     -0.002     -0.33146626
-0.0     -0.001     -0.001     -0.32641482
0.0     0.0     0.0     -0.32249612
0.0     0.001     0.001     -0.31480902
0.0     0.002     0.002     -0.30859303
0.0     0.003     0.003     -0.30243605
0.0     0.004     0.004     -0.29523158
0.0     0.005     0.005     -0.28733495
0.0     0.006     0.006     -0.27962053
0.0     0.007     0.007     -0.2726013
0.0     0.008     0.008     -0.26789942
0.0     0.009     0.009     -0.2647158
0.0     0.01     0.01     -0.2617681
0.0     0.011     0.011     -0.2598175
0.0     0.012     0.012     -0.25784564
0.0     0.013     0.013     -0.25549877
0.0     0.014     0.014     -0.2534029
0.0     0.015     0.015     -0.2512995
0.0     0.016     0.016     -0.24945915
0.0     0.017     0.017     -0.24814592
0.0     0.018     0.018     -0.24713922
0.0     0.019     0.019     -0.24636643
0.0     0.02     0.02     -0.24596958
0.0     0.021     0.021     -0.24558932
0.0     0.022     0.022     -0.24550268
0.0     0.023     0.023     -0.24543059
0.0     0.024     0.024     -0.24548873
0.0     0.025     0.025     -0.24555224
0.0     0.026     0.026     -0.2456243
0.0     0.027     0.027     -0.24579477
0.0     0.028     0.028     -0.24609078
0.0     0.029     0.029     -0.24652025
0.0     0.03     0.03     -0.24691795
