Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.017   -0.02   0.013  0.35003084
-0.017   -0.02   0.014  0.3452237
-0.017   -0.02   0.015  0.33994442
-0.017   -0.02   0.016  0.3354643
-0.017   -0.02   0.017  0.33116037
-0.017   -0.02   0.018  0.32701078
-0.017   -0.02   0.019  0.32301718
-0.016   -0.02   -0.02  0.57962227
-0.016   -0.02   -0.019  0.5715332
-0.016   -0.02   -0.018  0.5628603
-0.016   -0.02   -0.017  0.55413073
-0.016   -0.02   -0.016  0.54558814
-0.016   -0.02   -0.015  0.53699404
-0.016   -0.02   -0.014  0.52863705
-0.016   -0.02   -0.013  0.5201876
-0.016   -0.02   -0.012  0.51207674
-0.016   -0.02   -0.011  0.5036867
-0.016   -0.02   -0.01  0.49512422
-0.016   -0.02   -0.009  0.48664778
-0.016   -0.02   -0.008  0.47752684
-0.016   -0.02   -0.007  0.46863186
-0.016   -0.02   -0.006  0.46014237
-0.016   -0.02   -0.005  0.45193964
-0.016   -0.02   -0.004  0.44293153
-0.016   -0.02   -0.003  0.43382007
-0.016   -0.02   -0.002  0.42498493
-0.016   -0.02   -0.001  0.41809136
-0.016   -0.02   0.0  0.411688
-0.016   -0.02   0.001  0.4064312
-0.016   -0.02   0.002  0.40142345
-0.016   -0.02   0.003  0.39713222
-0.016   -0.02   0.004  0.39344704
-0.016   -0.02   0.005  0.38923064
-0.016   -0.02   0.006  0.3833183
-0.016   -0.02   0.007  0.37757665
-0.016   -0.02   0.008  0.37206596
-0.016   -0.02   0.009  0.36689633
-0.016   -0.02   0.01  0.36162025
-0.016   -0.02   0.011  0.3562395
-0.016   -0.02   0.012  0.35150173
-0.016   -0.02   0.013  0.346869
-0.016   -0.02   0.014  0.3421482
-0.016   -0.02   0.015  0.33705184
-0.016   -0.02   0.016  0.33268178
-0.016   -0.02   0.017  0.3286563
-0.016   -0.02   0.018  0.3244355
-0.016   -0.02   0.019  0.32084635
-0.015   -0.02   -0.02  0.57510126
-0.015   -0.02   -0.019  0.5669024
-0.015   -0.02   -0.018  0.55822617
-0.015   -0.02   -0.017  0.5499978
-0.015   -0.02   -0.016  0.5416963
-0.015   -0.02   -0.015  0.5332409
-0.015   -0.02   -0.014  0.5248665
-0.015   -0.02   -0.013  0.5161845
-0.015   -0.02   -0.012  0.50763947
-0.015   -0.02   -0.011  0.49920678
-0.015   -0.02   -0.01  0.4910987
-0.015   -0.02   -0.009  0.48349065
-0.015   -0.02   -0.008  0.47521335
-0.015   -0.02   -0.007  0.46628243
-0.015   -0.02   -0.006  0.4579224
-0.015   -0.02   -0.005  0.44951218
-0.015   -0.02   -0.004  0.44053704
-0.015   -0.02   -0.003  0.43164062
-0.015   -0.02   -0.002  0.42314547
-0.015   -0.02   -0.001  0.41593194
-0.015   -0.02   0.0  0.40945375
-0.015   -0.02   0.001  0.40411693
-0.015   -0.02   0.002  0.39877513
-0.015   -0.02   0.003  0.39444256
-0.015   -0.02   0.004  0.39104205
-0.015   -0.02   0.005  0.38619983
-0.015   -0.02   0.006  0.38020748
-0.015   -0.02   0.007  0.37445766
-0.015   -0.02   0.008  0.36894202
-0.015   -0.02   0.009  0.36371288
-0.015   -0.02   0.01  0.35845745
-0.015   -0.02   0.011  0.3532669
-0.015   -0.02   0.012  0.3488338
-0.015   -0.02   0.013  0.3443386
-0.015   -0.02   0.014  0.33933222
-0.015   -0.02   0.015  0.33440077
-0.015   -0.02   0.016  0.33049685
-0.015   -0.02   0.017  0.32626587
-0.015   -0.02   0.018  0.3221992
-0.015   -0.02   0.019  0.3186313
-0.014   -0.02   -0.02  0.57073253
-0.014   -0.02   -0.019  0.5624156
-0.014   -0.02   -0.018  0.5540665
-0.014   -0.02   -0.017  0.5461648
-0.014   -0.02   -0.016  0.5379
-0.014   -0.02   -0.015  0.52922887
-0.014   -0.02   -0.014  0.52077234
-0.014   -0.02   -0.013  0.5121863
-0.014   -0.02   -0.012  0.50367326
-0.014   -0.02   -0.011  0.49536836
-0.014   -0.02   -0.01  0.4873547
-0.014   -0.02   -0.009  0.4797421
-0.014   -0.02   -0.008  0.47219598
-0.014   -0.02   -0.007  0.46396363
-0.014   -0.02   -0.006  0.45547003
-0.014   -0.02   -0.005  0.44669557
-0.014   -0.02   -0.004  0.43812555
-0.014   -0.02   -0.003  0.42951718
-0.014   -0.02   -0.002  0.42138076
-0.014   -0.02   -0.001  0.4140067
-0.014   -0.02   0.0  0.407484
-0.014   -0.02   0.001  0.4017895
-0.014   -0.02   0.002  0.3968072
-0.014   -0.02   0.003  0.39214236
-0.014   -0.02   0.004  0.3882409
-0.014   -0.02   0.005  0.38300884
-0.014   -0.02   0.006  0.37745875
-0.014   -0.02   0.007  0.37132436
-0.014   -0.02   0.008  0.3658486
-0.014   -0.02   0.009  0.36066532
-0.014   -0.02   0.01  0.35604215
-0.014   -0.02   0.011  0.35113564
-0.014   -0.02   0.012  0.34659427
-0.014   -0.02   0.013  0.34246737
-0.014   -0.02   0.014  0.33737534
-0.014   -0.02   0.015  0.3325551
-0.014   -0.02   0.016  0.3282817
-0.014   -0.02   0.017  0.324215
-0.014   -0.02   0.018  0.32034308
-0.014   -0.02   0.019  0.31670916
-0.013   -0.02   -0.02  0.5666175
-0.013   -0.02   -0.019  0.55858934
-0.013   -0.02   -0.018  0.5499498
-0.013   -0.02   -0.017  0.5421164
-0.013   -0.02   -0.016  0.53393465
-0.013   -0.02   -0.015  0.5253214
-0.013   -0.02   -0.014  0.5170842
-0.013   -0.02   -0.013  0.50856686
-0.013   -0.02   -0.012  0.5000732
-0.013   -0.02   -0.011  0.4916832
-0.013   -0.02   -0.01  0.483617
-0.013   -0.02   -0.009  0.4758451
-0.013   -0.02   -0.008  0.46846694
-0.013   -0.02   -0.007  0.46092713
-0.013   -0.02   -0.006  0.4526406
-0.013   -0.02   -0.005  0.44388205
-0.013   -0.02   -0.004  0.43553984
-0.013   -0.02   -0.003  0.42741778
-0.013   -0.02   -0.002  0.41977233
-0.013   -0.02   -0.001  0.41222525
-0.013   -0.02   0.0  0.40572345
-0.013   -0.02   0.001  0.39988172
-0.013   -0.02   0.002  0.39486778
-0.013   -0.02   0.003  0.38968384
-0.013   -0.02   0.004  0.3855583
-0.013   -0.02   0.005  0.3801211
-0.013   -0.02   0.006  0.37452072
-0.013   -0.02   0.007  0.36919117
-0.013   -0.02   0.008  0.36365545
-0.013   -0.02   0.009  0.3585506
-0.013   -0.02   0.01  0.35385627
-0.013   -0.02   0.011  0.349318
-0.013   -0.02   0.012  0.34480625
-0.013   -0.02   0.013  0.34053338
-0.013   -0.02   0.014  0.33565223
-0.013   -0.02   0.015  0.33077067
-0.013   -0.02   0.016  0.3263905
-0.013   -0.02   0.017  0.32243258
-0.013   -0.02   0.018  0.3187499
-0.013   -0.02   0.019  0.31460688
-0.012   -0.02   -0.02  0.5628005
-0.012   -0.02   -0.019  0.5543062
-0.012   -0.02   -0.018  0.5461417
-0.012   -0.02   -0.017  0.5379943
-0.012   -0.02   -0.016  0.5301125
-0.012   -0.02   -0.015  0.5216826
-0.012   -0.02   -0.014  0.51338774
-0.012   -0.02   -0.013  0.504935
-0.012   -0.02   -0.012  0.49650633
-0.012   -0.02   -0.011  0.48810238
-0.012   -0.02   -0.01  0.47993147
-0.012   -0.02   -0.009  0.47203308
