Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v2
strin_x    strain_y    strain_z    v2
-0.1   -0.1   0.06  0.9337
-0.1   -0.1   0.061  0.9337
-0.1   -0.1   0.062  0.9337
-0.1   -0.1   0.063  0.9337
-0.1   -0.1   0.064  0.9337
-0.1   -0.1   0.065  0.9337
-0.1   -0.1   0.066  0.9337
-0.1   -0.1   0.067  0.9337
-0.1   -0.1   0.068  0.9337
-0.1   -0.1   0.069  0.9337
-0.1   -0.1   0.07  0.9337
-0.1   -0.1   0.071  0.9337
-0.1   -0.1   0.072  0.9337
-0.1   -0.1   0.073  0.9337
-0.1   -0.1   0.074  0.9337
-0.1   -0.1   0.075  0.9337
-0.1   -0.1   0.076  0.9337
-0.1   -0.1   0.077  0.9337
-0.1   -0.1   0.078  0.9337
-0.1   -0.1   0.079  0.9337
-0.1   -0.1   0.08  0.9337
-0.1   -0.1   0.081  0.9337
-0.1   -0.1   0.082  0.9337
-0.1   -0.1   0.083  0.9337
-0.1   -0.1   0.084  0.9337
-0.1   -0.1   0.085  0.9337
-0.1   -0.1   0.086  0.9337
-0.1   -0.1   0.087  0.9337
-0.1   -0.1   0.088  0.9337
-0.1   -0.1   0.089  0.9337
-0.1   -0.1   0.09  0.9337
-0.1   -0.1   0.091  0.9337
-0.1   -0.1   0.092  0.9337
-0.1   -0.1   0.093  0.9337
-0.1   -0.1   0.094  0.9337
-0.1   -0.1   0.095  0.9337
-0.1   -0.1   0.096  0.9337
-0.1   -0.1   0.097  0.9337
-0.1   -0.1   0.098  0.9337
-0.1   -0.1   0.099  0.9337
-0.099   -0.1   -0.1  0.9286491
-0.099   -0.1   -0.099  0.9286491
-0.099   -0.1   -0.098  0.9286491
-0.099   -0.1   -0.097  0.9286491
-0.099   -0.1   -0.096  0.9286491
-0.099   -0.1   -0.095  0.9286491
-0.099   -0.1   -0.094  0.9286491
-0.099   -0.1   -0.093  0.9286491
-0.099   -0.1   -0.092  0.9286491
-0.099   -0.1   -0.091  0.9286491
-0.099   -0.1   -0.09  0.9286491
-0.099   -0.1   -0.089  0.9286491
-0.099   -0.1   -0.088  0.9286491
-0.099   -0.1   -0.087  0.9286491
-0.099   -0.1   -0.086  0.9286491
-0.099   -0.1   -0.085  0.9286491
-0.099   -0.1   -0.084  0.9286491
-0.099   -0.1   -0.083  0.9286491
-0.099   -0.1   -0.082  0.9286491
-0.099   -0.1   -0.081  0.9286491
-0.099   -0.1   -0.08  0.9286491
-0.099   -0.1   -0.079  0.9286491
-0.099   -0.1   -0.078  0.9286491
-0.099   -0.1   -0.077  0.9286491
-0.099   -0.1   -0.076  0.9286491
-0.099   -0.1   -0.075  0.9286491
-0.099   -0.1   -0.074  0.9286491
-0.099   -0.1   -0.073  0.9286491
-0.099   -0.1   -0.072  0.9286491
-0.099   -0.1   -0.071  0.9286491
-0.099   -0.1   -0.07  0.9286491
-0.099   -0.1   -0.069  0.9286491
-0.099   -0.1   -0.068  0.9286491
-0.099   -0.1   -0.067  0.9286491
-0.099   -0.1   -0.066  0.9286491
-0.099   -0.1   -0.065  0.9286491
-0.099   -0.1   -0.064  0.9286491
-0.099   -0.1   -0.063  0.9286491
-0.099   -0.1   -0.062  0.9286491
-0.099   -0.1   -0.061  0.9286491
-0.099   -0.1   -0.06  0.9286491
-0.099   -0.1   -0.059  0.9286491
-0.099   -0.1   -0.058  0.9286491
-0.099   -0.1   -0.057  0.9286491
-0.099   -0.1   -0.056  0.9286491
-0.099   -0.1   -0.055  0.9286491
-0.099   -0.1   -0.054  0.9286491
-0.099   -0.1   -0.053  0.9286491
-0.099   -0.1   -0.052  0.9286491
-0.099   -0.1   -0.051  0.9286491
-0.099   -0.1   -0.05  0.9286491
-0.099   -0.1   -0.049  0.9286491
-0.099   -0.1   -0.048  0.9286491
-0.099   -0.1   -0.047  0.9286491
