Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v6
strin_x    strain_y    strain_z    v6
-0.02   -0.02   -0.02  0.7174908
-0.02   -0.02   -0.019  0.70921946
-0.02   -0.02   -0.018  0.7008275
-0.02   -0.02   -0.017  0.69232845
-0.02   -0.02   -0.016  0.68389595
-0.02   -0.02   -0.015  0.67522657
-0.02   -0.02   -0.014  0.66695297
-0.02   -0.02   -0.013  0.65863705
-0.02   -0.02   -0.012  0.64998305
-0.02   -0.02   -0.011  0.64092004
-0.02   -0.02   -0.01  0.63133335
-0.02   -0.02   -0.009  0.6214156
-0.02   -0.02   -0.008  0.6109735
-0.02   -0.02   -0.007  0.60078937
-0.02   -0.02   -0.006  0.59059334
-0.02   -0.02   -0.005  0.58057225
-0.02   -0.02   -0.004  0.5702728
-0.02   -0.02   -0.003  0.5600297
-0.02   -0.02   -0.002  0.5499728
-0.02   -0.02   -0.001  0.5397099
-0.02   -0.02   0.0  0.5316559
-0.02   -0.02   0.001  0.5244015
-0.02   -0.02   0.002  0.5173969
-0.02   -0.02   0.003  0.5099741
-0.02   -0.02   0.004  0.5030498
-0.02   -0.02   0.005  0.49582422
-0.02   -0.02   0.006  0.4890079
-0.02   -0.02   0.007  0.48333573
-0.02   -0.02   0.008  0.47790757
-0.02   -0.02   0.009  0.4726842
-0.02   -0.02   0.01  0.46775508
-0.02   -0.02   0.011  0.4628997
-0.02   -0.02   0.012  0.45790327
-0.02   -0.02   0.013  0.45375845
-0.02   -0.02   0.014  0.44863328
-0.02   -0.02   0.015  0.44403118
-0.02   -0.02   0.016  0.43970382
-0.02   -0.02   0.017  0.43546194
-0.02   -0.02   0.018  0.4317518
-0.02   -0.02   0.019  0.42754036
-0.019   -0.02   -0.02  0.7211637
-0.019   -0.02   -0.019  0.713171
-0.019   -0.02   -0.018  0.7049134
-0.019   -0.02   -0.017  0.69625646
-0.019   -0.02   -0.016  0.68768644
-0.019   -0.02   -0.015  0.6791238
-0.019   -0.02   -0.014  0.67036855
-0.019   -0.02   -0.013  0.66165185
-0.019   -0.02   -0.012  0.6526364
-0.019   -0.02   -0.011  0.64389074
-0.019   -0.02   -0.01  0.63475907
-0.019   -0.02   -0.009  0.6250005
-0.019   -0.02   -0.008  0.61408246
-0.019   -0.02   -0.007  0.6034491
-0.019   -0.02   -0.006  0.5931034
-0.019   -0.02   -0.005  0.58267343
-0.019   -0.02   -0.004  0.5724735
-0.019   -0.02   -0.003  0.56212115
-0.019   -0.02   -0.002  0.5518348
-0.019   -0.02   -0.001  0.5426378
-0.019   -0.02   0.0  0.5342804
-0.019   -0.02   0.001  0.5272901
-0.019   -0.02   0.002  0.5194638
-0.019   -0.02   0.003  0.512172
-0.019   -0.02   0.004  0.5048163
-0.019   -0.02   0.005  0.4971505
-0.019   -0.02   0.006  0.49005038
-0.019   -0.02   0.007  0.484106
-0.019   -0.02   0.008  0.47825617
-0.019   -0.02   0.009  0.4728352
-0.019   -0.02   0.01  0.46792865
-0.019   -0.02   0.011  0.46265587
-0.019   -0.02   0.012  0.45723698
-0.019   -0.02   0.013  0.4521156
-0.019   -0.02   0.014  0.44687968
-0.019   -0.02   0.015  0.44217062
-0.019   -0.02   0.016  0.43787268
-0.019   -0.02   0.017  0.43352056
-0.019   -0.02   0.018  0.4294616
-0.019   -0.02   0.019  0.42532507
-0.018   -0.02   -0.02  0.7242744
-0.018   -0.02   -0.019  0.7164475
-0.018   -0.02   -0.018  0.7085763
-0.018   -0.02   -0.017  0.7001203
-0.018   -0.02   -0.016  0.69142795
-0.018   -0.02   -0.015  0.682726
-0.018   -0.02   -0.014  0.6739811
-0.018   -0.02   -0.013  0.66471946
-0.018   -0.02   -0.012  0.6556158
-0.018   -0.02   -0.011  0.64672506
-0.018   -0.02   -0.01  0.63758004
-0.018   -0.02   -0.009  0.6280365
-0.018   -0.02   -0.008  0.6174327
-0.018   -0.02   -0.007  0.6058756
-0.018   -0.02   -0.006  0.59507465
-0.018   -0.02   -0.005  0.58468795
-0.018   -0.02   -0.004  0.57421124
-0.018   -0.02   -0.003  0.5641209
-0.018   -0.02   -0.002  0.5539609
-0.018   -0.02   -0.001  0.54570055
-0.018   -0.02   0.0  0.53774524
-0.018   -0.02   0.001  0.5293891
-0.018   -0.02   0.002  0.521436
-0.018   -0.02   0.003  0.5142156
-0.018   -0.02   0.004  0.5067731
-0.018   -0.02   0.005  0.49905944
-0.018   -0.02   0.006  0.49162936
-0.018   -0.02   0.007  0.48533517
-0.018   -0.02   0.008  0.47942892
-0.018   -0.02   0.009  0.47383323
-0.018   -0.02   0.01  0.46878713
-0.018   -0.02   0.011  0.46299714
-0.018   -0.02   0.012  0.4567686
-0.018   -0.02   0.013  0.4512795
-0.018   -0.02   0.014  0.44603974
-0.018   -0.02   0.015  0.4407904
-0.018   -0.02   0.016  0.43613714
-0.018   -0.02   0.017  0.432094
-0.018   -0.02   0.018  0.42740664
-0.018   -0.02   0.019  0.42287743
-0.017   -0.02   -0.02  0.72764933
-0.017   -0.02   -0.019  0.71945876
-0.017   -0.02   -0.018  0.7116095
-0.017   -0.02   -0.017  0.70342124
-0.017   -0.02   -0.016  0.69472075
-0.017   -0.02   -0.015  0.6857681
-0.017   -0.02   -0.014  0.67668056
-0.017   -0.02   -0.013  0.6672077
-0.017   -0.02   -0.012  0.6578535
-0.017   -0.02   -0.011  0.64915967
-0.017   -0.02   -0.01  0.6404955
-0.017   -0.02   -0.009  0.6308795
-0.017   -0.02   -0.008  0.6202687
-0.017   -0.02   -0.007  0.6088443
-0.017   -0.02   -0.006  0.5972503
-0.017   -0.02   -0.005  0.5864718
-0.017   -0.02   -0.004  0.57614005
-0.017   -0.02   -0.003  0.56619704
-0.017   -0.02   -0.002  0.55681425
-0.017   -0.02   -0.001  0.5487156
-0.017   -0.02   0.0  0.54083467
-0.017   -0.02   0.001  0.53175366
-0.017   -0.02   0.002  0.52367616
-0.017   -0.02   0.003  0.5163652
-0.017   -0.02   0.004  0.50872856
-0.017   -0.02   0.005  0.50126296
-0.017   -0.02   0.006  0.4938548
-0.017   -0.02   0.007  0.4872018
-0.017   -0.02   0.008  0.48087102
-0.017   -0.02   0.009  0.47506616
-0.017   -0.02   0.01  0.46937674
-0.017   -0.02   0.011  0.46292162
-0.017   -0.02   0.012  0.45666078
-0.017   -0.02   0.013  0.4507866
-0.017   -0.02   0.014  0.44548494
-0.017   -0.02   0.015  0.43989477
-0.017   -0.02   0.016  0.4354798
-0.017   -0.02   0.017  0.43095958
-0.017   -0.02   0.018  0.4257375
-0.017   -0.02   0.019  0.4203869
-0.016   -0.02   -0.02  0.7306758
-0.016   -0.02   -0.019  0.7224901
-0.016   -0.02   -0.018  0.7141285
