Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v1
strin_x    strain_y    strain_z    v1
0.003   0.0   0.025  0.5182979
0.003   0.0   0.026  0.52085245
0.003   0.0   0.027  0.5235668
0.003   0.0   0.028  0.5262926
0.003   0.0   0.029  0.52905786
0.003   0.0   0.03  0.53167105
0.003   0.0   0.031  0.5341237
0.003   0.0   0.032  0.53653336
0.003   0.0   0.033  0.5391557
0.003   0.0   0.034  0.5418051
0.003   0.0   0.035  0.54448324
0.003   0.0   0.036  0.54714084
0.003   0.0   0.037  0.54980874
0.003   0.0   0.038  0.5526765
0.003   0.0   0.039  0.5555884
0.003   0.0   0.04  0.55842865
0.003   0.0   0.041  0.5612551
0.003   0.0   0.042  0.56405747
0.003   0.0   0.043  0.567115
0.003   0.0   0.044  0.5702695
0.003   0.0   0.045  0.5734204
0.003   0.0   0.046  0.5766422
0.003   0.0   0.047  0.5799015
0.003   0.0   0.048  0.5831545
0.003   0.0   0.049  0.5863908
0.004   0.0   0.0  0.45705554
0.004   0.0   0.001  0.46029103
0.004   0.0   0.002  0.46294254
0.004   0.0   0.003  0.46559012
0.004   0.0   0.004  0.46758753
0.004   0.0   0.005  0.46926218
0.004   0.0   0.006  0.4722724
0.004   0.0   0.007  0.47570068
0.004   0.0   0.008  0.4789967
0.004   0.0   0.009  0.4814356
0.004   0.0   0.01  0.48339802
0.004   0.0   0.011  0.48529953
0.004   0.0   0.012  0.4859807
0.004   0.0   0.013  0.4864338
0.004   0.0   0.014  0.48697495
0.004   0.0   0.015  0.48827636
0.004   0.0   0.016  0.48957896
0.004   0.0   0.017  0.49123937
0.004   0.0   0.018  0.4929521
0.004   0.0   0.019  0.4947427
0.004   0.0   0.02  0.49648
0.004   0.0   0.021  0.4983421
0.004   0.0   0.022  0.50043255
0.004   0.0   0.023  0.50264466
0.004   0.0   0.024  0.5050854
0.004   0.0   0.025  0.5079436
0.004   0.0   0.026  0.5108239
0.004   0.0   0.027  0.5137812
0.004   0.0   0.028  0.5168038
0.004   0.0   0.029  0.5196692
0.004   0.0   0.03  0.522549
0.004   0.0   0.031  0.52557445
0.004   0.0   0.032  0.5286274
0.004   0.0   0.033  0.53146464
0.004   0.0   0.034  0.53423136
0.004   0.0   0.035  0.53699696
0.004   0.0   0.036  0.53966993
0.004   0.0   0.037  0.5423358
0.004   0.0   0.038  0.54502183
0.004   0.0   0.039  0.54788405
0.004   0.0   0.04  0.55097365
0.004   0.0   0.041  0.5540547
0.004   0.0   0.042  0.55715954
0.004   0.0   0.043  0.56036484
0.004   0.0   0.044  0.56358856
0.004   0.0   0.045  0.56674314
0.004   0.0   0.046  0.5698779
0.004   0.0   0.047  0.5730208
0.004   0.0   0.048  0.57618296
0.004   0.0   0.049  0.5793442
0.005   0.0   0.0  0.44206858
0.005   0.0   0.001  0.4448994
0.005   0.0   0.002  0.44750428
0.005   0.0   0.003  0.45032984
0.005   0.0   0.004  0.45273018
0.005   0.0   0.005  0.45506746
0.005   0.0   0.006  0.4583251
0.005   0.0   0.007  0.46235216
0.005   0.0   0.008  0.46504045
0.005   0.0   0.009  0.46837193
0.005   0.0   0.01  0.47053123
0.005   0.0   0.011  0.47197756
0.005   0.0   0.012  0.47366413
0.005   0.0   0.013  0.47470787
0.005   0.0   0.014  0.47519675
0.005   0.0   0.015  0.47620082
0.005   0.0   0.016  0.4775959
0.005   0.0   0.017  0.47899014
0.005   0.0   0.018  0.4808225
0.005   0.0   0.019  0.4829738
0.005   0.0   0.02  0.48507345
0.005   0.0   0.021  0.48716038
0.005   0.0   0.022  0.4893068
0.005   0.0   0.023  0.49176806
0.005   0.0   0.024  0.49463332
0.005   0.0   0.025  0.49774247
0.005   0.0   0.026  0.5009264
0.005   0.0   0.027  0.5039613
0.005   0.0   0.028  0.5070414
0.005   0.0   0.029  0.5099901
0.005   0.0   0.03  0.51307416
0.005   0.0   0.031  0.5162927
0.005   0.0   0.032  0.51960105
0.005   0.0   0.033  0.52281904
0.005   0.0   0.034  0.5258096
0.005   0.0   0.035  0.5287711
0.005   0.0   0.036  0.5319699
0.005   0.0   0.037  0.5351275
0.005   0.0   0.038  0.53811383
0.005   0.0   0.039  0.54107505
0.005   0.0   0.04  0.5441994
0.005   0.0   0.041  0.54731864
0.005   0.0   0.042  0.550539
0.005   0.0   0.043  0.55374557
0.005   0.0   0.044  0.556921
0.005   0.0   0.045  0.5601028
0.005   0.0   0.046  0.56330955
0.005   0.0   0.047  0.56652
0.005   0.0   0.048  0.5697596
0.005   0.0   0.049  0.5729956
0.006   0.0   0.0  0.4261335
0.006   0.0   0.001  0.42912647
0.006   0.0   0.002  0.43143693
0.006   0.0   0.003  0.4339791
0.006   0.0   0.004  0.43732446
0.006   0.0   0.005  0.44037777
0.006   0.0   0.006  0.44337723
0.006   0.0   0.007  0.4468331
0.006   0.0   0.008  0.449894
0.006   0.0   0.009  0.45343548
0.006   0.0   0.01  0.45609736
0.006   0.0   0.011  0.45843863
0.006   0.0   0.012  0.46024954
0.006   0.0   0.013  0.46180946
0.006   0.0   0.014  0.46267205
0.006   0.0   0.015  0.463679
0.006   0.0   0.016  0.46543086
0.006   0.0   0.017  0.4672585
0.006   0.0   0.018  0.46889347
0.006   0.0   0.019  0.47100848
0.006   0.0   0.02  0.47345507
0.006   0.0   0.021  0.4760471
0.006   0.0   0.022  0.4786474
0.006   0.0   0.023  0.4812302
0.006   0.0   0.024  0.4842034
0.006   0.0   0.025  0.4875238
0.006   0.0   0.026  0.49085206
0.006   0.0   0.027  0.4941514
0.006   0.0   0.028  0.4972793
0.006   0.0   0.029  0.5005806
0.006   0.0   0.03  0.5038888
0.006   0.0   0.031  0.5072333
0.006   0.0   0.032  0.51080453
0.006   0.0   0.033  0.5145181
0.006   0.0   0.034  0.5180728
0.006   0.0   0.035  0.521551
0.006   0.0   0.036  0.5248724
0.006   0.0   0.037  0.5281277
0.006   0.0   0.038  0.5313457
0.006   0.0   0.039  0.5344196
0.006   0.0   0.04  0.5375409
0.006   0.0   0.041  0.54094887
0.006   0.0   0.042  0.5442612
0.006   0.0   0.043  0.54752797
0.006   0.0   0.044  0.5507779
0.006   0.0   0.045  0.55403984
0.006   0.0   0.046  0.5573417
0.006   0.0   0.047  0.56070226
0.006   0.0   0.048  0.5640095
0.006   0.0   0.049  0.56737196
0.007   0.0   0.0  0.4114303
0.007   0.0   0.001  0.41383386
0.007   0.0   0.002  0.4159749
0.007   0.0   0.003  0.41884458
0.007   0.0   0.004  0.42222676
0.007   0.0   0.005  0.4254741
0.007   0.0   0.006  0.42800003
0.007   0.0   0.007  0.4307179
0.007   0.0   0.008  0.43463248
0.007   0.0   0.009  0.43833715
0.007   0.0   0.01  0.44081336
0.007   0.0   0.011  0.44318902
0.007   0.0   0.012  0.4461698
0.007   0.0   0.013  0.44805115
0.007   0.0   0.014  0.44938952
0.007   0.0   0.015  0.45082992
0.007   0.0   0.016  0.45254207
0.007   0.0   0.017  0.45460674
0.007   0.0   0.018  0.4569974
0.007   0.0   0.019  0.459561
0.007   0.0   0.02  0.4625126
0.007   0.0   0.021  0.46524462
0.007   0.0   0.022  0.4679133
0.007   0.0   0.023  0.47076702
0.007   0.0   0.024  0.473907
0.007   0.0   0.025  0.47718537
0.007   0.0   0.026  0.4805411
0.007   0.0   0.027  0.48388904
0.007   0.0   0.028  0.48755997
0.007   0.0   0.029  0.49113667
0.007   0.0   0.03  0.49466032
0.007   0.0   0.031  0.49834293
0.007   0.0   0.032  0.5021187
0.007   0.0   0.033  0.50602037
0.007   0.0   0.034  0.50996655
0.007   0.0   0.035  0.51374096
0.007   0.0   0.036  0.5173728
0.007   0.0   0.037  0.52087235
0.007   0.0   0.038  0.52423507
0.007   0.0   0.039  0.5275855
0.007   0.0   0.04  0.5308918
0.007   0.0   0.041  0.5341174
0.007   0.0   0.042  0.53756154
0.007   0.0   0.043  0.5410552
