Inference results by NN model
strain parameters and last term is v2
strain_x    strain_y     strain_z     v2
-0.03     -0.0     -0.03     0.828866
-0.029     -0.0     -0.029     0.8163263
-0.028     -0.0     -0.028     0.8040085
-0.027     -0.0     -0.027     0.7917167
-0.026     -0.0     -0.026     0.7795354
-0.025     -0.0     -0.025     0.7675522
-0.024     -0.0     -0.024     0.75563955
-0.023     -0.0     -0.023     0.74384296
-0.022     -0.0     -0.022     0.7319869
-0.021     -0.0     -0.021     0.7202816
-0.02     -0.0     -0.02     0.708423
-0.019     -0.0     -0.019     0.69643927
-0.018     -0.0     -0.018     0.68438977
-0.017     -0.0     -0.017     0.67232275
-0.016     -0.0     -0.016     0.6607603
-0.015     -0.0     -0.015     0.64954054
-0.014     -0.0     -0.014     0.63782436
-0.013     -0.0     -0.013     0.626257
-0.012     -0.0     -0.012     0.61432725
-0.011     -0.0     -0.011     0.6026788
-0.01     -0.0     -0.01     0.5909048
-0.009     -0.0     -0.009     0.5788578
-0.008     -0.0     -0.008     0.56642103
-0.007     -0.0     -0.007     0.5538562
-0.006     -0.0     -0.006     0.5410757
-0.005     -0.0     -0.005     0.527456
-0.004     -0.0     -0.004     0.51399094
-0.003     -0.0     -0.003     0.5000689
-0.002     -0.0     -0.002     0.48776466
-0.001     -0.0     -0.001     0.4772327
0.0     0.0     0.0     0.46726394
0.001     0.0     0.001     0.45198315
0.002     0.0     0.002     0.43562
0.003     0.0     0.003     0.42125306
0.004     0.0     0.004     0.40532148
0.005     0.0     0.005     0.3905086
0.006     0.0     0.006     0.3765919
0.007     0.0     0.007     0.36075342
0.008     0.0     0.008     0.3445841
0.009     0.0     0.009     0.32971287
0.01     0.0     0.01     0.3150468
0.011     0.0     0.011     0.30038112
0.012     0.0     0.012     0.28606135
0.013     0.0     0.013     0.27178454
0.014     0.0     0.014     0.25883764
0.015     0.0     0.015     0.24646859
0.016     0.0     0.016     0.23446092
0.017     0.0     0.017     0.22277732
0.018     0.0     0.018     0.21180496
0.019     0.0     0.019     0.20146936
0.02     0.0     0.02     0.19172254
0.021     0.0     0.021     0.18403123
0.022     0.0     0.022     0.17719904
0.023     0.0     0.023     0.17085704
0.024     0.0     0.024     0.16516277
0.025     0.0     0.025     0.15970603
0.026     0.0     0.026     0.15449953
0.027     0.0     0.027     0.14933321
0.028     0.0     0.028     0.14432043
0.029     0.0     0.029     0.13942046
0.03     0.0     0.03     0.13448732
