Inference results by NN model
strain parameters and last term is v6
strain_x    strain_y     strain_z     v6
-0.0     -0.03     -0.03     0.7988914
-0.0     -0.029     -0.029     0.7909721
-0.0     -0.028     -0.028     0.783316
-0.0     -0.027     -0.027     0.77578545
-0.0     -0.026     -0.026     0.76815814
-0.0     -0.025     -0.025     0.7603421
-0.0     -0.024     -0.024     0.75266707
-0.0     -0.023     -0.023     0.7451541
-0.0     -0.022     -0.022     0.7375301
-0.0     -0.021     -0.021     0.7297919
-0.0     -0.02     -0.02     0.7225365
-0.0     -0.019     -0.019     0.71549535
-0.0     -0.018     -0.018     0.70908725
-0.0     -0.017     -0.017     0.70286906
-0.0     -0.016     -0.016     0.696464
-0.0     -0.015     -0.015     0.6902523
-0.0     -0.014     -0.014     0.6839565
-0.0     -0.013     -0.013     0.6773461
-0.0     -0.012     -0.012     0.6707736
-0.0     -0.011     -0.011     0.6640526
-0.0     -0.01     -0.01     0.6575085
-0.0     -0.009     -0.009     0.65014493
-0.0     -0.008     -0.008     0.6437346
-0.0     -0.007     -0.007     0.6372279
-0.0     -0.006     -0.006     0.6298506
-0.0     -0.005     -0.005     0.62259424
-0.0     -0.004     -0.004     0.6149543
-0.0     -0.003     -0.003     0.6072209
-0.0     -0.002     -0.002     0.5989825
-0.0     -0.001     -0.001     0.58883405
0.0     0.0     0.0     0.57915604
0.0     0.001     0.001     0.57157195
0.0     0.002     0.002     0.56241524
0.0     0.003     0.003     0.55302954
0.0     0.004     0.004     0.54408216
0.0     0.005     0.005     0.5345526
0.0     0.006     0.006     0.524465
0.0     0.007     0.007     0.5150501
0.0     0.008     0.008     0.50461864
0.0     0.009     0.009     0.49355197
0.0     0.01     0.01     0.48361784
0.0     0.011     0.011     0.47376055
0.0     0.012     0.012     0.46459445
0.0     0.013     0.013     0.45590904
0.0     0.014     0.014     0.44711587
0.0     0.015     0.015     0.43914557
0.0     0.016     0.016     0.43247688
0.0     0.017     0.017     0.4270438
0.0     0.018     0.018     0.42222583
0.0     0.019     0.019     0.41755033
0.0     0.02     0.02     0.41286615
0.0     0.021     0.021     0.408759
0.0     0.022     0.022     0.40506595
0.0     0.023     0.023     0.40182906
0.0     0.024     0.024     0.39898863
0.0     0.025     0.025     0.39640862
0.0     0.026     0.026     0.39404362
0.0     0.027     0.027     0.39195392
0.0     0.028     0.028     0.38988504
0.0     0.029     0.029     0.38774127
0.0     0.03     0.03     0.3855657
