Inference results by NN model
strain parameters and last term is v4
strain_x    strain_y     strain_z     v4
-0.0     -0.03     -0.03     0.8712856
-0.0     -0.029     -0.029     0.86384344
-0.0     -0.028     -0.028     0.85655254
-0.0     -0.027     -0.027     0.84942293
-0.0     -0.026     -0.026     0.8422195
-0.0     -0.025     -0.025     0.8350523
-0.0     -0.024     -0.024     0.82786226
-0.0     -0.023     -0.023     0.82078797
-0.0     -0.022     -0.022     0.8138607
-0.0     -0.021     -0.021     0.806915
-0.0     -0.02     -0.02     0.8000883
-0.0     -0.019     -0.019     0.7930658
-0.0     -0.018     -0.018     0.7854194
-0.0     -0.017     -0.017     0.77752876
-0.0     -0.016     -0.016     0.7695272
-0.0     -0.015     -0.015     0.7618531
-0.0     -0.014     -0.014     0.7543897
-0.0     -0.013     -0.013     0.74718595
-0.0     -0.012     -0.012     0.7404693
-0.0     -0.011     -0.011     0.7339139
-0.0     -0.01     -0.01     0.72693783
-0.0     -0.009     -0.009     0.7208986
-0.0     -0.008     -0.008     0.71500766
-0.0     -0.007     -0.007     0.70920116
-0.0     -0.006     -0.006     0.7037771
-0.0     -0.005     -0.005     0.6991586
-0.0     -0.004     -0.004     0.69362646
-0.0     -0.003     -0.003     0.6880981
-0.0     -0.002     -0.002     0.6831791
-0.0     -0.001     -0.001     0.6802553
0.0     0.0     0.0     0.6787355
0.0     0.001     0.001     0.67447
0.0     0.002     0.002     0.6686678
0.0     0.003     0.003     0.66141856
0.0     0.004     0.004     0.655794
0.0     0.005     0.005     0.65016097
0.0     0.006     0.006     0.6455301
0.0     0.007     0.007     0.6412378
0.0     0.008     0.008     0.6380532
0.0     0.009     0.009     0.63594705
0.0     0.01     0.01     0.63628757
0.0     0.011     0.011     0.638348
0.0     0.012     0.012     0.6413459
0.0     0.013     0.013     0.6441193
0.0     0.014     0.014     0.6471169
0.0     0.015     0.015     0.6511502
0.0     0.016     0.016     0.6549914
0.0     0.017     0.017     0.6588253
0.0     0.018     0.018     0.6629313
0.0     0.019     0.019     0.66730493
0.0     0.02     0.02     0.67196554
0.0     0.021     0.021     0.6766304
0.0     0.022     0.022     0.6817181
0.0     0.023     0.023     0.68711793
0.0     0.024     0.024     0.69264185
0.0     0.025     0.025     0.69821084
0.0     0.026     0.026     0.70362175
0.0     0.027     0.027     0.70907205
0.0     0.028     0.028     0.7146777
0.0     0.029     0.029     0.7203797
0.0     0.03     0.03     0.72610605
