Inference results by NN model
strain parameters and last term is v3
strain_x    strain_y     strain_z     v3
-0.03     -0.03     -0.03     -0.45207065
-0.029     -0.029     -0.029     -0.44707084
-0.028     -0.028     -0.028     -0.44225198
-0.027     -0.027     -0.027     -0.43748873
-0.026     -0.026     -0.026     -0.4326836
-0.025     -0.025     -0.025     -0.42792732
-0.024     -0.024     -0.024     -0.42328876
-0.023     -0.023     -0.023     -0.4186582
-0.022     -0.022     -0.022     -0.41400117
-0.021     -0.021     -0.021     -0.4092309
-0.02     -0.02     -0.02     -0.40439147
-0.019     -0.019     -0.019     -0.39957273
-0.018     -0.018     -0.018     -0.3947878
-0.017     -0.017     -0.017     -0.39026284
-0.016     -0.016     -0.016     -0.3858599
-0.015     -0.015     -0.015     -0.3812858
-0.014     -0.014     -0.014     -0.376814
-0.013     -0.013     -0.013     -0.3727415
-0.012     -0.012     -0.012     -0.3686981
-0.011     -0.011     -0.011     -0.36449483
-0.01     -0.01     -0.01     -0.35992622
-0.009     -0.009     -0.009     -0.3550892
-0.008     -0.008     -0.008     -0.35074902
-0.007     -0.007     -0.007     -0.3470592
-0.006     -0.006     -0.006     -0.34332567
-0.005     -0.005     -0.005     -0.33968377
-0.004     -0.004     -0.004     -0.3355401
-0.003     -0.003     -0.003     -0.33089435
-0.002     -0.002     -0.002     -0.32745284
-0.001     -0.001     -0.001     -0.32379776
0.0     0.0     0.0     -0.3226173
0.001     0.001     0.001     -0.31866074
0.002     0.002     0.002     -0.3130612
0.003     0.003     0.003     -0.3056596
0.004     0.004     0.004     -0.29627243
0.005     0.005     0.005     -0.2869167
0.006     0.006     0.006     -0.2794351
0.007     0.007     0.007     -0.27207392
0.008     0.008     0.008     -0.26534516
0.009     0.009     0.009     -0.26036584
0.01     0.01     0.01     -0.25591224
0.011     0.011     0.011     -0.25290602
0.012     0.012     0.012     -0.24946034
0.013     0.013     0.013     -0.24591729
0.014     0.014     0.014     -0.24243318
0.015     0.015     0.015     -0.23943752
0.016     0.016     0.016     -0.23645541
0.017     0.017     0.017     -0.23369855
0.018     0.018     0.018     -0.2311933
0.019     0.019     0.019     -0.22882584
0.02     0.02     0.02     -0.22691877
0.021     0.021     0.021     -0.22549069
0.022     0.022     0.022     -0.22424847
0.023     0.023     0.023     -0.22314915
0.024     0.024     0.024     -0.22184914
0.025     0.025     0.025     -0.2206325
0.026     0.026     0.026     -0.21943983
0.027     0.027     0.027     -0.2183109
0.028     0.028     0.028     -0.21717972
0.029     0.029     0.029     -0.21621197
0.03     0.03     0.03     -0.21536964
