Inference results by NN model
strain parameters and last term is v6
strain_x    strain_y     strain_z     v6
-0.03     -0.03     -0.0     0.5273612
-0.029     -0.029     -0.0     0.52800274
-0.028     -0.028     -0.0     0.52893937
-0.027     -0.027     -0.0     0.5298454
-0.026     -0.026     -0.0     0.5308712
-0.025     -0.025     -0.0     0.5320117
-0.024     -0.024     -0.0     0.53308946
-0.023     -0.023     -0.0     0.5344752
-0.022     -0.022     -0.0     0.5359722
-0.021     -0.021     -0.0     0.53755575
-0.02     -0.02     -0.0     0.53924495
-0.019     -0.019     -0.0     0.54115576
-0.018     -0.018     -0.0     0.54268384
-0.017     -0.017     -0.0     0.5441494
-0.016     -0.016     -0.0     0.5456472
-0.015     -0.015     -0.0     0.54707986
-0.014     -0.014     -0.0     0.5488252
-0.013     -0.013     -0.0     0.5506846
-0.012     -0.012     -0.0     0.5524004
-0.011     -0.011     -0.0     0.5532495
-0.01     -0.01     -0.0     0.55445683
-0.009     -0.009     -0.0     0.5562427
-0.008     -0.008     -0.0     0.5583525
-0.007     -0.007     -0.0     0.56189674
-0.006     -0.006     -0.0     0.56630313
-0.005     -0.005     -0.0     0.56957716
-0.004     -0.004     -0.0     0.5698632
-0.003     -0.003     -0.0     0.57097733
-0.002     -0.002     -0.0     0.5741165
-0.001     -0.001     -0.0     0.57715327
0.0     0.0     0.0     0.57915604
0.001     0.001     0.0     0.5828947
0.002     0.002     0.0     0.58459663
0.003     0.003     0.0     0.5876442
0.004     0.004     0.0     0.59200066
0.005     0.005     0.0     0.5956765
0.006     0.006     0.0     0.59854627
0.007     0.007     0.0     0.60135156
0.008     0.008     0.0     0.60354847
0.009     0.009     0.0     0.6051494
0.01     0.01     0.0     0.6072955
0.011     0.011     0.0     0.6102078
0.012     0.012     0.0     0.61284375
0.013     0.013     0.0     0.61505663
0.014     0.014     0.0     0.61786306
0.015     0.015     0.0     0.6211395
0.016     0.016     0.0     0.6247232
0.017     0.017     0.0     0.62813556
0.018     0.018     0.0     0.6315592
0.019     0.019     0.0     0.6352509
0.02     0.02     0.0     0.63917476
0.021     0.021     0.0     0.6431519
0.022     0.022     0.0     0.64705205
0.023     0.023     0.0     0.6511824
0.024     0.024     0.0     0.6556769
0.025     0.025     0.0     0.6602733
0.026     0.026     0.0     0.66464955
0.027     0.027     0.0     0.6689691
0.028     0.028     0.0     0.67339885
0.029     0.029     0.0     0.67772985
0.03     0.03     0.0     0.6823036
