Inference results by NN model
strain parameters and last term is v3
strain_x    strain_y     strain_z     v3
-0.03     -0.03     -0.0     -0.35580325
-0.029     -0.029     -0.0     -0.35436255
-0.028     -0.028     -0.0     -0.3530109
-0.027     -0.027     -0.0     -0.3517334
-0.026     -0.026     -0.0     -0.35071352
-0.025     -0.025     -0.0     -0.3497489
-0.024     -0.024     -0.0     -0.3487191
-0.023     -0.023     -0.0     -0.3477869
-0.022     -0.022     -0.0     -0.3469945
-0.021     -0.021     -0.0     -0.34631944
-0.02     -0.02     -0.0     -0.34554416
-0.019     -0.019     -0.0     -0.34475553
-0.018     -0.018     -0.0     -0.34394136
-0.017     -0.017     -0.0     -0.34299833
-0.016     -0.016     -0.0     -0.34196255
-0.015     -0.015     -0.0     -0.34079188
-0.014     -0.014     -0.0     -0.33953792
-0.013     -0.013     -0.0     -0.33839047
-0.012     -0.012     -0.0     -0.3367128
-0.011     -0.011     -0.0     -0.3349526
-0.01     -0.01     -0.0     -0.33350956
-0.009     -0.009     -0.0     -0.33207166
-0.008     -0.008     -0.0     -0.33098042
-0.007     -0.007     -0.0     -0.32958102
-0.006     -0.006     -0.0     -0.32759637
-0.005     -0.005     -0.0     -0.3256811
-0.004     -0.004     -0.0     -0.32398045
-0.003     -0.003     -0.0     -0.32343298
-0.002     -0.002     -0.0     -0.32234848
-0.001     -0.001     -0.0     -0.322254
0.0     0.0     0.0     -0.3226173
0.001     0.001     0.0     -0.32084578
0.002     0.002     0.0     -0.31860006
0.003     0.003     0.0     -0.3164568
0.004     0.004     0.0     -0.31381482
0.005     0.005     0.0     -0.3098511
0.006     0.006     0.0     -0.3050157
0.007     0.007     0.0     -0.2997887
0.008     0.008     0.0     -0.29505563
0.009     0.009     0.0     -0.29071134
0.01     0.01     0.0     -0.2866239
0.011     0.011     0.0     -0.2826311
0.012     0.012     0.0     -0.27957118
0.013     0.013     0.0     -0.27784714
0.014     0.014     0.0     -0.27604747
0.015     0.015     0.0     -0.2746985
0.016     0.016     0.0     -0.27366602
0.017     0.017     0.0     -0.273392
0.018     0.018     0.0     -0.2733335
0.019     0.019     0.0     -0.2731589
0.02     0.02     0.0     -0.27306512
0.021     0.021     0.0     -0.2729017
0.022     0.022     0.0     -0.27278334
0.023     0.023     0.0     -0.2727277
0.024     0.024     0.0     -0.2729333
0.025     0.025     0.0     -0.2731855
0.026     0.026     0.0     -0.2734025
0.027     0.027     0.0     -0.273549
0.028     0.028     0.0     -0.2737089
0.029     0.029     0.0     -0.2738642
0.03     0.03     0.0     -0.2740693
