Inference results by NN model
strain parameters and last term is v4
strain_x    strain_y     strain_z     v4
-0.03     -0.03     -0.03     0.80328465
-0.029     -0.029     -0.029     0.7969488
-0.028     -0.028     -0.028     0.79080474
-0.027     -0.027     -0.027     0.7850846
-0.026     -0.026     -0.026     0.77945936
-0.025     -0.025     -0.025     0.7737108
-0.024     -0.024     -0.024     0.7679244
-0.023     -0.023     -0.023     0.7622712
-0.022     -0.022     -0.022     0.7566855
-0.021     -0.021     -0.021     0.7512822
-0.02     -0.02     -0.02     0.7462498
-0.019     -0.019     -0.019     0.7423516
-0.018     -0.018     -0.018     0.7392576
-0.017     -0.017     -0.017     0.73681694
-0.016     -0.016     -0.016     0.73431414
-0.015     -0.015     -0.015     0.73165673
-0.014     -0.014     -0.014     0.7288393
-0.013     -0.013     -0.013     0.7262688
-0.012     -0.012     -0.012     0.72354144
-0.011     -0.011     -0.011     0.7200251
-0.01     -0.01     -0.01     0.7164618
-0.009     -0.009     -0.009     0.7127571
-0.008     -0.008     -0.008     0.7085032
-0.007     -0.007     -0.007     0.7036647
-0.006     -0.006     -0.006     0.6979376
-0.005     -0.005     -0.005     0.6918017
-0.004     -0.004     -0.004     0.6847281
-0.003     -0.003     -0.003     0.68051636
-0.002     -0.002     -0.002     0.6792308
-0.001     -0.001     -0.001     0.678561
0.0     0.0     0.0     0.6787355
0.001     0.001     0.001     0.6752158
0.002     0.002     0.002     0.6704111
0.003     0.003     0.003     0.6631392
0.004     0.004     0.004     0.65212846
0.005     0.005     0.005     0.6404131
0.006     0.006     0.006     0.63019156
0.007     0.007     0.007     0.62172663
0.008     0.008     0.008     0.61537427
0.009     0.009     0.009     0.6100595
0.01     0.01     0.01     0.6051977
0.011     0.011     0.011     0.60005915
0.012     0.012     0.012     0.5953016
0.013     0.013     0.013     0.59163815
0.014     0.014     0.014     0.5881258
0.015     0.015     0.015     0.5851216
0.016     0.016     0.016     0.58277994
0.017     0.017     0.017     0.5806093
0.018     0.018     0.018     0.57916385
0.019     0.019     0.019     0.578826
0.02     0.02     0.02     0.5790916
0.021     0.021     0.021     0.57962227
0.022     0.022     0.022     0.5802254
0.023     0.023     0.023     0.58090055
0.024     0.024     0.024     0.5821631
0.025     0.025     0.025     0.58391607
0.026     0.026     0.026     0.5861707
0.027     0.027     0.027     0.58861256
0.028     0.028     0.028     0.5913522
0.029     0.029     0.029     0.5942611
0.03     0.03     0.03     0.59707355
