Inference results by NN model
strain parameters and last term is v6
strain_x    strain_y     strain_z     v6
-0.03     -0.03     -0.03     0.7716003
-0.029     -0.029     -0.029     0.7639154
-0.028     -0.028     -0.028     0.7563031
-0.027     -0.027     -0.027     0.74868864
-0.026     -0.026     -0.026     0.74107164
-0.025     -0.025     -0.025     0.7336652
-0.024     -0.024     -0.024     0.7263281
-0.023     -0.023     -0.023     0.7192414
-0.022     -0.022     -0.022     0.7125397
-0.021     -0.021     -0.021     0.70624065
-0.02     -0.02     -0.02     0.69995177
-0.019     -0.019     -0.019     0.6941706
-0.018     -0.018     -0.018     0.68844414
-0.017     -0.017     -0.017     0.68302697
-0.016     -0.016     -0.016     0.677831
-0.015     -0.015     -0.015     0.67265105
-0.014     -0.014     -0.014     0.667215
-0.013     -0.013     -0.013     0.6614657
-0.012     -0.012     -0.012     0.6555926
-0.011     -0.011     -0.011     0.64935744
-0.01     -0.01     -0.01     0.64342123
-0.009     -0.009     -0.009     0.63737226
-0.008     -0.008     -0.008     0.6303872
-0.007     -0.007     -0.007     0.6227232
-0.006     -0.006     -0.006     0.6151669
-0.005     -0.005     -0.005     0.607299
-0.004     -0.004     -0.004     0.6017786
-0.003     -0.003     -0.003     0.59688866
-0.002     -0.002     -0.002     0.59227
-0.001     -0.001     -0.001     0.5860615
0.0     0.0     0.0     0.57915604
0.001     0.001     0.001     0.57446873
0.002     0.002     0.002     0.5684117
0.003     0.003     0.003     0.5619534
0.004     0.004     0.004     0.556134
0.005     0.005     0.005     0.5505688
0.006     0.006     0.006     0.5438135
0.007     0.007     0.007     0.53606045
0.008     0.008     0.008     0.5286373
0.009     0.009     0.009     0.52089465
0.01     0.01     0.01     0.51180786
0.011     0.011     0.011     0.5025389
0.012     0.012     0.012     0.493765
0.013     0.013     0.013     0.48540196
0.014     0.014     0.014     0.47700977
0.015     0.015     0.015     0.46881652
0.016     0.016     0.016     0.461204
0.017     0.017     0.017     0.45437354
0.018     0.018     0.018     0.44834068
0.019     0.019     0.019     0.44323897
0.02     0.02     0.02     0.43882763
0.021     0.021     0.021     0.43605822
0.022     0.022     0.022     0.4336345
0.023     0.023     0.023     0.43172744
0.024     0.024     0.024     0.43006873
0.025     0.025     0.025     0.4287174
0.026     0.026     0.026     0.42759085
0.027     0.027     0.027     0.42656213
0.028     0.028     0.028     0.4258715
0.029     0.029     0.029     0.42535344
0.03     0.03     0.03     0.42488363
