Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.017   -0.02   0.006  -0.3614934
-0.017   -0.02   0.007  -0.36082262
-0.017   -0.02   0.008  -0.36038995
-0.017   -0.02   0.009  -0.36030787
-0.017   -0.02   0.01  -0.36031264
-0.017   -0.02   0.011  -0.3603592
-0.017   -0.02   0.012  -0.36072266
-0.017   -0.02   0.013  -0.36103123
-0.017   -0.02   0.014  -0.3611413
-0.017   -0.02   0.015  -0.36128157
-0.017   -0.02   0.016  -0.36154413
-0.017   -0.02   0.017  -0.36174935
-0.017   -0.02   0.018  -0.3618877
-0.017   -0.02   0.019  -0.36177886
-0.016   -0.02   -0.02  -0.3948863
-0.016   -0.02   -0.019  -0.39282662
-0.016   -0.02   -0.018  -0.39077437
-0.016   -0.02   -0.017  -0.38890335
-0.016   -0.02   -0.016  -0.3870265
-0.016   -0.02   -0.015  -0.38552654
-0.016   -0.02   -0.014  -0.38422516
-0.016   -0.02   -0.013  -0.3827755
-0.016   -0.02   -0.012  -0.38143313
-0.016   -0.02   -0.011  -0.3801388
-0.016   -0.02   -0.01  -0.3787263
-0.016   -0.02   -0.009  -0.37681636
-0.016   -0.02   -0.008  -0.37473112
-0.016   -0.02   -0.007  -0.37265277
-0.016   -0.02   -0.006  -0.37064147
-0.016   -0.02   -0.005  -0.3687312
-0.016   -0.02   -0.004  -0.36702368
-0.016   -0.02   -0.003  -0.36584103
-0.016   -0.02   -0.002  -0.36483175
-0.016   -0.02   -0.001  -0.36437422
-0.016   -0.02   0.0  -0.36417794
-0.016   -0.02   0.001  -0.36399716
-0.016   -0.02   0.002  -0.3636936
-0.016   -0.02   0.003  -0.36273852
-0.016   -0.02   0.004  -0.3620937
-0.016   -0.02   0.005  -0.36157936
-0.016   -0.02   0.006  -0.3609767
-0.016   -0.02   0.007  -0.36035264
-0.016   -0.02   0.008  -0.35992736
-0.016   -0.02   0.009  -0.35968554
-0.016   -0.02   0.01  -0.35984564
-0.016   -0.02   0.011  -0.3601545
-0.016   -0.02   0.012  -0.36065596
-0.016   -0.02   0.013  -0.36097652
-0.016   -0.02   0.014  -0.36111015
-0.016   -0.02   0.015  -0.36138126
-0.016   -0.02   0.016  -0.36141568
-0.016   -0.02   0.017  -0.3613963
-0.016   -0.02   0.018  -0.36099362
-0.016   -0.02   0.019  -0.3606844
-0.015   -0.02   -0.02  -0.39485437
-0.015   -0.02   -0.019  -0.3926842
-0.015   -0.02   -0.018  -0.39053667
-0.015   -0.02   -0.017  -0.3886398
-0.015   -0.02   -0.016  -0.3867255
-0.015   -0.02   -0.015  -0.38501117
-0.015   -0.02   -0.014  -0.38370812
-0.015   -0.02   -0.013  -0.382419
-0.015   -0.02   -0.012  -0.3811581
-0.015   -0.02   -0.011  -0.37987655
-0.015   -0.02   -0.01  -0.3784988
-0.015   -0.02   -0.009  -0.37678248
-0.015   -0.02   -0.008  -0.37473434
-0.015   -0.02   -0.007  -0.37251103
-0.015   -0.02   -0.006  -0.37064767
-0.015   -0.02   -0.005  -0.36871165
-0.015   -0.02   -0.004  -0.36692348
-0.015   -0.02   -0.003  -0.36563343
