Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.02   -0.02   -0.02  0.59097236
-0.02   -0.02   -0.019  0.5876482
-0.02   -0.02   -0.018  0.5844603
-0.02   -0.02   -0.017  0.58132124
-0.02   -0.02   -0.016  0.5780177
-0.02   -0.02   -0.015  0.57420576
-0.02   -0.02   -0.014  0.57021344
-0.02   -0.02   -0.013  0.56638443
-0.02   -0.02   -0.012  0.56273973
-0.02   -0.02   -0.011  0.5590916
-0.02   -0.02   -0.01  0.5551224
-0.02   -0.02   -0.009  0.55109835
-0.02   -0.02   -0.008  0.5470073
-0.02   -0.02   -0.007  0.5428598
-0.02   -0.02   -0.006  0.5393274
-0.02   -0.02   -0.005  0.53585184
-0.02   -0.02   -0.004  0.5323063
-0.02   -0.02   -0.003  0.52892494
-0.02   -0.02   -0.002  0.5258008
-0.02   -0.02   -0.001  0.52291095
-0.02   -0.02   0.0  0.5199269
-0.02   -0.02   0.001  0.5172295
-0.02   -0.02   0.002  0.51504654
-0.02   -0.02   0.003  0.5126242
-0.02   -0.02   0.004  0.5097554
-0.02   -0.02   0.005  0.5070968
-0.02   -0.02   0.006  0.5048585
-0.02   -0.02   0.007  0.50260794
-0.02   -0.02   0.008  0.50079554
-0.02   -0.02   0.009  0.49911475
-0.02   -0.02   0.01  0.49788865
-0.02   -0.02   0.011  0.49657357
-0.02   -0.02   0.012  0.49550098
-0.02   -0.02   0.013  0.49476638
-0.02   -0.02   0.014  0.4940488
-0.02   -0.02   0.015  0.49387884
-0.02   -0.02   0.016  0.4934315
-0.02   -0.02   0.017  0.4928334
-0.02   -0.02   0.018  0.4921988
-0.02   -0.02   0.019  0.49143195
-0.019   -0.02   -0.02  0.588657
-0.019   -0.02   -0.019  0.5853654
-0.019   -0.02   -0.018  0.5820304
-0.019   -0.02   -0.017  0.57876694
-0.019   -0.02   -0.016  0.57551026
-0.019   -0.02   -0.015  0.57238686
-0.019   -0.02   -0.014  0.56848645
-0.019   -0.02   -0.013  0.56467235
-0.019   -0.02   -0.012  0.5610035
-0.019   -0.02   -0.011  0.55697894
-0.019   -0.02   -0.01  0.5528415
-0.019   -0.02   -0.009  0.5484996
-0.019   -0.02   -0.008  0.5443127
-0.019   -0.02   -0.007  0.54027826
-0.019   -0.02   -0.006  0.53635156
-0.019   -0.02   -0.005  0.53293633
-0.019   -0.02   -0.004  0.52969724
-0.019   -0.02   -0.003  0.5266044
-0.019   -0.02   -0.002  0.52367747
-0.019   -0.02   -0.001  0.5207217
-0.019   -0.02   0.0  0.51762867
-0.019   -0.02   0.001  0.5149376
-0.019   -0.02   0.002  0.5126108
-0.019   -0.02   0.003  0.51025826
-0.019   -0.02   0.004  0.50781405
-0.019   -0.02   0.005  0.50523585
-0.019   -0.02   0.006  0.5027161
-0.019   -0.02   0.007  0.5003926
-0.019   -0.02   0.008  0.4986096
-0.019   -0.02   0.009  0.4968422
-0.019   -0.02   0.01  0.4955253
-0.019   -0.02   0.011  0.49476722
-0.019   -0.02   0.012  0.49397427
-0.019   -0.02   0.013  0.4929262
-0.019   -0.02   0.014  0.49241373
-0.019   -0.02   0.015  0.492007
-0.019   -0.02   0.016  0.491418
-0.019   -0.02   0.017  0.49104795
-0.019   -0.02   0.018  0.4905571
-0.019   -0.02   0.019  0.48971885
-0.018   -0.02   -0.02  0.58702314
-0.018   -0.02   -0.019  0.583438
-0.018   -0.02   -0.018  0.5798007
-0.018   -0.02   -0.017  0.57643175
-0.018   -0.02   -0.016  0.5734808
-0.018   -0.02   -0.015  0.5704268
-0.018   -0.02   -0.014  0.566782
-0.018   -0.02   -0.013  0.5631449
-0.018   -0.02   -0.012  0.55955195
-0.018   -0.02   -0.011  0.55547273
-0.018   -0.02   -0.01  0.5505337
-0.018   -0.02   -0.009  0.54602385
-0.018   -0.02   -0.008  0.5416643
-0.018   -0.02   -0.007  0.5377481
-0.018   -0.02   -0.006  0.5338887
-0.018   -0.02   -0.005  0.5305219
-0.018   -0.02   -0.004  0.5271919
-0.018   -0.02   -0.003  0.5244298
-0.018   -0.02   -0.002  0.5215262
-0.018   -0.02   -0.001  0.5182427
-0.018   -0.02   0.0  0.5151551
-0.018   -0.02   0.001  0.5126331
-0.018   -0.02   0.002  0.51020503
-0.018   -0.02   0.003  0.5080944
-0.018   -0.02   0.004  0.5058028
-0.018   -0.02   0.005  0.5034458
-0.018   -0.02   0.006  0.5005434
-0.018   -0.02   0.007  0.49810618
-0.018   -0.02   0.008  0.49595308
-0.018   -0.02   0.009  0.494524
-0.018   -0.02   0.01  0.49354935
-0.018   -0.02   0.011  0.4931519
-0.018   -0.02   0.012  0.49226022
-0.018   -0.02   0.013  0.49119312
-0.018   -0.02   0.014  0.490736
-0.018   -0.02   0.015  0.48985755
-0.018   -0.02   0.016  0.48942298
-0.018   -0.02   0.017  0.48932937
-0.018   -0.02   0.018  0.48876113
-0.018   -0.02   0.019  0.48779482
-0.017   -0.02   -0.02  0.5855211
-0.017   -0.02   -0.019  0.5819812
-0.017   -0.02   -0.018  0.57830334
-0.017   -0.02   -0.017  0.5749053
-0.017   -0.02   -0.016  0.5716946
-0.017   -0.02   -0.015  0.56873775
-0.017   -0.02   -0.014  0.5655261
-0.017   -0.02   -0.013  0.5619498
-0.017   -0.02   -0.012  0.55862975
-0.017   -0.02   -0.011  0.55463016
-0.017   -0.02   -0.01  0.54946035
-0.017   -0.02   -0.009  0.544289
-0.017   -0.02   -0.008  0.5399711
-0.017   -0.02   -0.007  0.53593946
-0.017   -0.02   -0.006  0.5320475
-0.017   -0.02   -0.005  0.5285139
-0.017   -0.02   -0.004  0.5254191
-0.017   -0.02   -0.003  0.52228665
-0.017   -0.02   -0.002  0.51942825
-0.017   -0.02   -0.001  0.5161637
-0.017   -0.02   0.0  0.5128223
-0.017   -0.02   0.001  0.5101937
-0.017   -0.02   0.002  0.5077572
-0.017   -0.02   0.003  0.505359
-0.017   -0.02   0.004  0.5033238
-0.017   -0.02   0.005  0.5008838
-0.017   -0.02   0.006  0.4982879
-0.017   -0.02   0.007  0.49585035
-0.017   -0.02   0.008  0.49364382
-0.017   -0.02   0.009  0.49220958
-0.017   -0.02   0.01  0.49155384
-0.017   -0.02   0.011  0.4909495
-0.017   -0.02   0.012  0.4902473
-0.017   -0.02   0.013  0.48935652
-0.017   -0.02   0.014  0.48856953
-0.017   -0.02   0.015  0.4879756
-0.017   -0.02   0.016  0.48777676
-0.017   -0.02   0.017  0.48772377
-0.017   -0.02   0.018  0.4870028
-0.017   -0.02   0.019  0.4863307
-0.016   -0.02   -0.02  0.58399534
-0.016   -0.02   -0.019  0.5805075
-0.016   -0.02   -0.018  0.5771966
-0.016   -0.02   -0.017  0.57369566
-0.016   -0.02   -0.016  0.57038194
-0.016   -0.02   -0.015  0.567281
-0.016   -0.02   -0.014  0.5640693
-0.016   -0.02   -0.013  0.5608381
-0.016   -0.02   -0.012  0.55730313
-0.016   -0.02   -0.011  0.5532559
-0.016   -0.02   -0.01  0.5482329
-0.016   -0.02   -0.009  0.54330456
-0.016   -0.02   -0.008  0.5384793
-0.016   -0.02   -0.007  0.53417337
-0.016   -0.02   -0.006  0.5302317
-0.016   -0.02   -0.005  0.52671456
-0.016   -0.02   -0.004  0.52366775
-0.016   -0.02   -0.003  0.52049583
-0.016   -0.02   -0.002  0.5171876
-0.016   -0.02   -0.001  0.5136355
-0.016   -0.02   0.0  0.5102923
-0.016   -0.02   0.001  0.5076802
-0.016   -0.02   0.002  0.50542545
-0.016   -0.02   0.003  0.5027387
-0.016   -0.02   0.004  0.50061893
-0.016   -0.02   0.005  0.49814305
-0.016   -0.02   0.006  0.49582165
-0.016   -0.02   0.007  0.49377596
-0.016   -0.02   0.008  0.49189058
-0.016   -0.02   0.009  0.49076557
-0.016   -0.02   0.01  0.489478
-0.016   -0.02   0.011  0.48873597
-0.016   -0.02   0.012  0.4879675
-0.016   -0.02   0.013  0.48736882
-0.016   -0.02   0.014  0.48668668
-0.016   -0.02   0.015  0.4864419
-0.016   -0.02   0.016  0.4860198
-0.016   -0.02   0.017  0.4860229
-0.016   -0.02   0.018  0.48547596
-0.016   -0.02   0.019  0.4846894
-0.015   -0.02   -0.02  0.58287
-0.015   -0.02   -0.019  0.57975996
-0.015   -0.02   -0.018  0.57643276
-0.015   -0.02   -0.017  0.5731509
-0.015   -0.02   -0.016  0.56994843
-0.015   -0.02   -0.015  0.56659955
-0.015   -0.02   -0.014  0.5632596
-0.015   -0.02   -0.013  0.5598469
-0.015   -0.02   -0.012  0.55610067
-0.015   -0.02   -0.011  0.5520115
-0.015   -0.02   -0.01  0.54727423
-0.015   -0.02   -0.009  0.5422572
-0.015   -0.02   -0.008  0.5373639
-0.015   -0.02   -0.007  0.53280646
-0.015   -0.02   -0.006  0.528402
-0.015   -0.02   -0.005  0.52447486
-0.015   -0.02   -0.004  0.52123374
-0.015   -0.02   -0.003  0.5182531
